rowCount,5321088
totalLv,10642176.000009
borderLv,10631533.824009
countLv,10631551.324361
borderIndex,334
borderRate,0.334000
changeRate,1.497006
sampleCount,10642176
otowareCount,0
otowareRate,0.000000
message,(“Á‚É–³‚µ)
OutputCancelled,0
Lvs,0,346524.698188
Lvs,1,420334.765720
Lvs,2,398657.066964
Lvs,3,374833.121103
Lvs,4,335155.791945
Lvs,5,297659.104549
Lvs,6,259803.959052
Lvs,7,232598.345976
Lvs,8,210714.449794
Lvs,9,190726.448792
Lvs,10,174303.567875
Lvs,11,161255.688187
Lvs,12,153650.049159
Lvs,13,145747.591789
Lvs,14,139721.516588
Lvs,15,132852.670600
Lvs,16,129949.494366
Lvs,17,125700.168238
Lvs,18,122016.195934
Lvs,19,118248.586013
Lvs,20,116253.582573
Lvs,21,113352.186162
Lvs,22,110785.356251
Lvs,23,108112.980641
Lvs,24,105255.858482
Lvs,25,103846.121320
Lvs,26,101812.597791
Lvs,27,99277.394273
Lvs,28,96744.100705
Lvs,29,95332.578619
Lvs,30,93836.708797
Lvs,31,91803.721068
Lvs,32,89245.983040
Lvs,33,88198.336171
Lvs,34,86677.453959
Lvs,35,85143.865355
Lvs,36,83307.516032
Lvs,37,81338.865134
Lvs,38,80539.831838
Lvs,39,79232.666204
Lvs,40,77454.733702
Lvs,41,75729.006719
Lvs,42,74935.793880
Lvs,43,73949.969736
Lvs,44,72465.514747
Lvs,45,70951.627499
Lvs,46,70151.167170
Lvs,47,69195.015784
Lvs,48,67998.112361
Lvs,49,66732.525066
Lvs,50,65314.808027
Lvs,51,64511.969304
Lvs,52,63589.628605
Lvs,53,62666.472488
Lvs,54,61146.774504
Lvs,55,60504.773463
Lvs,56,59378.002159
Lvs,57,58330.644305
Lvs,58,57118.811692
Lvs,59,56318.636185
Lvs,60,55481.845602
Lvs,61,54584.816615
Lvs,62,53375.384875
Lvs,63,52495.199642
Lvs,64,51731.518973
Lvs,65,50870.725485
Lvs,66,49764.749212
Lvs,67,48524.574123
Lvs,68,48087.039218
Lvs,69,47313.304212
Lvs,70,46319.922549
Lvs,71,45451.346352
Lvs,72,44990.487122
Lvs,73,44257.533514
Lvs,74,43491.170648
Lvs,75,42538.361941
Lvs,76,41887.730553
Lvs,77,41152.530399
Lvs,78,40405.642998
Lvs,79,39661.664558
Lvs,80,38843.849273
Lvs,81,38303.020204
Lvs,82,37526.368957
Lvs,83,36789.383754
Lvs,84,35956.388582
Lvs,85,35528.147453
Lvs,86,34745.697771
Lvs,87,34161.176175
Lvs,88,33441.299043
Lvs,89,32932.296904
Lvs,90,32405.909982
Lvs,91,31736.808050
Lvs,92,31011.065474
Lvs,93,30481.785986
Lvs,94,30038.171968
Lvs,95,29470.887023
Lvs,96,28871.091280
Lvs,97,28368.855944
Lvs,98,27896.770649
Lvs,99,27275.617425
Lvs,100,26714.510549
Lvs,101,26013.880217
Lvs,102,25620.887975
Lvs,103,25203.550920
Lvs,104,24742.454380
Lvs,105,24329.586466
Lvs,106,23641.304536
Lvs,107,23241.351790
Lvs,108,22747.194098
Lvs,109,22364.637219
Lvs,110,21848.573278
Lvs,111,21553.614289
Lvs,112,21152.799954
Lvs,113,20698.108874
Lvs,114,20356.909360
Lvs,115,19975.666910
Lvs,116,19660.230368
Lvs,117,19229.154101
Lvs,118,18853.774642
Lvs,119,18443.234575
Lvs,120,18160.250751
Lvs,121,17829.941945
Lvs,122,17579.875052
Lvs,123,17228.994322
Lvs,124,16895.431397
Lvs,125,16631.505428
Lvs,126,16288.006217
Lvs,127,15914.885056
Lvs,128,15700.534402
Lvs,129,15399.342222
Lvs,130,15140.944502
Lvs,131,14674.672584
Lvs,132,14456.350198
Lvs,133,14188.278368
Lvs,134,13860.285344
Lvs,135,13596.966469
Lvs,136,13276.778154
Lvs,137,13103.047307
Lvs,138,12839.165428
Lvs,139,12514.580384
Lvs,140,12215.389846
Lvs,141,12027.331477
Lvs,142,11799.340868
Lvs,143,11527.156938
Lvs,144,11197.208297
Lvs,145,11010.885896
Lvs,146,10800.837907
Lvs,147,10627.182265
Lvs,148,10323.748199
Lvs,149,10085.985276
Lvs,150,9874.366022
Lvs,151,9680.943988
Lvs,152,9436.724518
Lvs,153,9217.233697
Lvs,154,9016.839270
Lvs,155,8833.351619
Lvs,156,8697.663963
Lvs,157,8460.483988
Lvs,158,8281.666661
Lvs,159,8129.026125
Lvs,160,7976.402526
Lvs,161,7766.560541
Lvs,162,7597.863081
Lvs,163,7436.805155
Lvs,164,7339.916248
Lvs,165,7183.329316
Lvs,166,7014.160512
Lvs,167,6868.272554
Lvs,168,6703.261712
Lvs,169,6548.211255
Lvs,170,6392.670678
Lvs,171,6260.448352
Lvs,172,6112.267973
Lvs,173,6009.310916
Lvs,174,5846.893293
Lvs,175,5701.322331
Lvs,176,5634.929990
Lvs,177,5490.314364
Lvs,178,5391.068634
Lvs,179,5266.287352
Lvs,180,5163.833274
Lvs,181,5015.260603
Lvs,182,4918.449849
Lvs,183,4799.814501
Lvs,184,4728.913224
Lvs,185,4640.683334
Lvs,186,4529.005970
Lvs,187,4445.521572
Lvs,188,4393.034066
Lvs,189,4285.550672
Lvs,190,4213.824463
Lvs,191,4125.645136
Lvs,192,4018.232708
Lvs,193,3906.234570
Lvs,194,3851.037148
Lvs,195,3730.998659
Lvs,196,3628.962327
Lvs,197,3587.253596
Lvs,198,3542.685735
Lvs,199,3461.089215
Lvs,200,3407.822813
Lvs,201,3348.257170
Lvs,202,3274.794805
Lvs,203,3190.603422
Lvs,204,3134.928390
Lvs,205,3048.888452
Lvs,206,2968.173707
Lvs,207,2889.862815
Lvs,208,2857.723949
Lvs,209,2764.577722
Lvs,210,2720.161781
Lvs,211,2684.861386
Lvs,212,2632.570100
Lvs,213,2575.037446
Lvs,214,2516.112080
Lvs,215,2484.677932
Lvs,216,2441.511043
